"section","module","path","review_focus","priority","status","notes"
"Backend","Accounts","budgetwise-api/src/accounts/accounts.controller.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Accounts","budgetwise-api/src/accounts/accounts.module.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Accounts","budgetwise-api/src/accounts/accounts.service.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Accounts","budgetwise-api/src/accounts/dto/adjust-balance.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Accounts","budgetwise-api/src/accounts/dto/create-account.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Accounts","budgetwise-api/src/accounts/dto/update-account.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","App Bootstrap","budgetwise-api/src/app.module.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","High","TODO",""
"Backend","App Bootstrap","budgetwise-api/src/main.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","High","TODO",""
"Backend","Auth","budgetwise-api/src/auth/auth.controller.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Auth","budgetwise-api/src/auth/auth.module.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Auth","budgetwise-api/src/auth/current-user.decorator.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Auth","budgetwise-api/src/auth/internal-admin.guard.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Auth","budgetwise-api/src/auth/jwt.strategy.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Auth","budgetwise-api/src/auth/jwt-auth.guard.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Auth","budgetwise-api/src/auth/public.decorator.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Backend Config & Tooling","budgetwise-api/.env.example","Correctness, maintainability, project fit","Normal","TODO",""
"Backend","Backend Config & Tooling","budgetwise-api/.gitignore","Correctness, maintainability, project fit","Normal","TODO",""
"Backend","Backend Config & Tooling","budgetwise-api/.prettierrc","Correctness, maintainability, project fit","Normal","TODO",""
"Backend","Backend Config & Tooling","budgetwise-api/eslint.config.mjs","Correctness, maintainability, project fit","Normal","TODO",""
"Backend","Backend Config & Tooling","budgetwise-api/nest-cli.json","Config correctness, env safety, build/runtime compatibility","Normal","TODO",""
"Backend","Backend Config & Tooling","budgetwise-api/package.json","Config correctness, env safety, build/runtime compatibility","Normal","TODO",""
"Backend","Backend Config & Tooling","budgetwise-api/package-lock.json","Config correctness, env safety, build/runtime compatibility","Normal","TODO",""
"Backend","Backend Config & Tooling","budgetwise-api/prisma.config.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Backend Config & Tooling","budgetwise-api/README.md","Accuracy, drift, missing context, outdated instructions","Normal","TODO",""
"Backend","Backend Config & Tooling","budgetwise-api/tsconfig.build.json","Config correctness, env safety, build/runtime compatibility","Normal","TODO",""
"Backend","Backend Config & Tooling","budgetwise-api/tsconfig.json","Config correctness, env safety, build/runtime compatibility","Normal","TODO",""
"Backend","Budgets","budgetwise-api/src/budgets/budgets.controller.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Budgets","budgetwise-api/src/budgets/budgets.module.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Budgets","budgetwise-api/src/budgets/budgets.service.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Budgets","budgetwise-api/src/budgets/dto/copy-budgets.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Budgets","budgetwise-api/src/budgets/dto/create-budget.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Budgets","budgetwise-api/src/budgets/dto/filter-budgets.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Budgets","budgetwise-api/src/budgets/dto/update-budget.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Categories","budgetwise-api/src/categories/categories.controller.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Categories","budgetwise-api/src/categories/categories.module.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Categories","budgetwise-api/src/categories/categories.service.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Categories","budgetwise-api/src/categories/dto/create-category.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Categories","budgetwise-api/src/categories/dto/update-category.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Chat","budgetwise-api/src/chat/chat.controller.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Chat","budgetwise-api/src/chat/chat.module.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Chat","budgetwise-api/src/chat/chat.service.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","High","TODO",""
"Backend","Chat","budgetwise-api/src/chat/dto/create-session.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Chat","budgetwise-api/src/chat/dto/send-message.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Chat","budgetwise-api/src/chat/dto/update-session.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Chat","budgetwise-api/src/chat/guardrails.service.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Chat","budgetwise-api/src/chat/pending-confirmation.service.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Chat","budgetwise-api/src/chat/tools/tool-definitions.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Chat","budgetwise-api/src/chat/tools/tool-executor.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Common Backend Utilities","budgetwise-api/src/common/constants/limits.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Common Backend Utilities","budgetwise-api/src/common/date.util.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Common Backend Utilities","budgetwise-api/src/common/filters/all-exceptions.filter.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260324073426_init/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260325023942_add_chat_sessions/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260326122630_add_is_settled_to_transaction/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260327114917_add_recurring_transactions/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260330092749_add_new_account_types/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260330121127_add_is_system_to_category/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260331000000_add_user_id_multi_tenancy/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260401120000_add_maintaining_balance_to_account/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260402052903_add_recurring_next_due_date_index/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260406083611_rename_recurring_to_bill/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260408012327_add_account_provider_id/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260408023858_add_transfer_transaction_type/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260408031546_add_goals/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260408060655_add_goal_category/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260408064808_financial_goals_typed_links/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260408093000_remove_goal_category/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260408095500_protect_goal_default_categories/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260408103000_rename_bill_to_scheduled_transaction/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260408112531_add_notifications_and_notify_days/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/20260409014822_add_budget_spillover/migration.sql","DDL safety, data-loss risk, rollback implications","Normal","TODO",""
"Backend","Database Migrations","budgetwise-api/prisma/migrations/migration_lock.toml","Dependency choices, reproducibility, pipeline safety","Normal","TODO",""
"Backend","Database Schema","budgetwise-api/prisma/schema.prisma","Schema integrity, relations, enums, constraints, indexes","High","TODO",""
"Backend","Email","budgetwise-api/src/email/email.module.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Email","budgetwise-api/src/email/email.service.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Goals","budgetwise-api/src/goals/dto/contribute-goal.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Goals","budgetwise-api/src/goals/dto/create-goal.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Goals","budgetwise-api/src/goals/dto/update-goal.dto.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Goals","budgetwise-api/src/goals/goals.controller.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Goals","budgetwise-api/src/goals/goals.module.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Goals","budgetwise-api/src/goals/goals.service.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Health","budgetwise-api/src/health/health.controller.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
"Backend","Health","budgetwise-api/src/health/health.module.ts","Behavior, auth/tenant safety, DTO validation, error handling, performance","Normal","TODO",""
